Inside Features: 
SBAR^g,5 : 10
SBAR^g,4 : 4
SBAR^g,3 : 4
SBAR^g,2 : 2
POS,1 : 60
ADVP^g|RBR,1 : 2
@SINV^g,19 : 2
@SINV^g,18 : 3
@SINV^g,17 : 2
@ADJP^g,9 : 1
@ADJP^g,8 : 1
@ADJP^g,7 : 1
@ADJP^g,6 : 1
@ADJP^g,5 : 1
@ADJP^g,4 : 3
@ADJP^g,3 : 7
@ADJP^g,2 : 11
@S^g,7 : 21
$,1 : 7
@S^g,5 : 21
@S^g,4 : 27
@S^g,3 : 25
@S^g,2 : 26
@VP^g,11 : 10
@VP^g,10 : 8
S^g|ADJP^g|JJ,1 : 1
@ADJP^g,11 : 1
FRAG^g|NP^g,2 : 1
PP^g,42 : 2
TO,1 : 162
NP^g|WDT,1 : 1
@ADJP^g,10 : 1
@PRN^g,9 : 1
@S^g,38 : 1
@S^g,37 : 4
@S^g,36 : 3
@S^g,35 : 4
@S^g,34 : 4
@S^g,33 : 9
SBAR^g|SINV^g,23 : 1
@S^g,31 : 8
@S^g,30 : 5
PP^g,38 : 2
PP^g,37 : 1
PP^g,34 : 1
PP^g,32 : 1
PP^g,31 : 1
ADJP^g|RB,1 : 3
@S^g,29 : 4
@S^g,28 : 10
@S^g,27 : 7
@S^g,26 : 11
@S^g,25 : 8
@S^g,24 : 9
ADJP^g,9 : 1
ADJP^g,8 : 4
ADJP^g,7 : 4
ADJP^g,6 : 6
ADJP^g,5 : 3
ADJP^g,4 : 10
ADJP^g,3 : 19
ADJP^g,2 : 32
PP^g,28 : 1
PP^g,27 : 1
PP^g,26 : 2
PP^g,25 : 3
@SBARQ^g,3 : 1
PP^g,23 : 2
PP^g,22 : 3
PP^g,21 : 1
PP^g,20 : 6
JJ,1 : 461
VP^g,9 : 38
VP^g,8 : 51
VP^g,7 : 41
VP^g,6 : 51
VP^g,5 : 65
VP^g,4 : 62
VP^g,3 : 40
VP^g,2 : 45
@NP^g,26 : 1
@S^g,14 : 22
@S^g,13 : 25
@S^g,12 : 17
@S^g,11 : 14
@NP^g,21 : 1
@NP^g,20 : 2
SQ^g,8 : 1
VP^g,19 : 15
PP^g,19 : 3
PP^g,18 : 2
PP^g,17 : 6
PP^g,16 : 7
PP^g,15 : 5
PP^g,14 : 6
PP^g,13 : 7
PP^g,12 : 7
PP^g,11 : 9
PP^g,10 : 16
NP^g|JJR,1 : 1
@NP^g,19 : 1
@NP^g,18 : 1
@NP^g,17 : 2
@NP^g,16 : 2
@NP^g,15 : 2
@NP^g,14 : 3
@NP^g,13 : 4
@NP^g,12 : 10
@NP^g,11 : 8
@NP^g,10 : 12
JJS,1 : 7
SBAR^g|S^g|VP^g,13 : 2
SBAR^g|S^g|VP^g,10 : 1
FRAG^g|ADJP^g,2 : 1
VBG,1 : 94
PRP$,1 : 61
VP^g,26 : 5
VP^g,28 : 6
VP^g,29 : 3
VB,1 : 195
VP^g|VBZ,1 : 16
ADJP^g|QP^g,3 : 1
ADVP^g,4 : 4
NP^g|JJ,1 : 5
@VP^g,12 : 7
VP^g,21 : 11
@VP^g,17 : 2
@VP^g,19 : 2
VP^g,27 : 10
VP^g,57 : 1
VP^g,56 : 1
VP^g,54 : 1
SQ^g,9 : 1
VP^g|VBN,1 : 11
@ADVP^g,3 : 2
@ADVP^g,2 : 6
@PP^g,6 : 2
@VP^g,4 : 51
VP^g,31 : 4
VP^g,49 : 1
VP^g,46 : 2
@FRAG^g,6 : 1
VP^g,43 : 2
@FRAG^g,3 : 2
@FRAG^g,2 : 2
VP^g,40 : 2
S^g|ADJP^g,14 : 1
ADVP^g,8 : 1
VP^g,36 : 3

inside_nt_morph : 0

Outside Features: 
outside_treeabove_1 : 1763
S^g|VP^g->VBP,PP^g* : 1
@NP^g->NNP,CC* : 5
@S^g->@S^g,SBAR^g* : 1
@SBAR^g->SBAR^g,,* : 1
@S^g->NP^g,NP^g* : 2
@NP^g->NNP,NN* : 3
@NP^g->NP^g,NN* : 8
VP^g->VBZ*,SBAR^g : 6
S^g|VP^g->VBD*,NP^g|NNP : 1
VP^g->@VP^g*,SBAR^g|S^g : 1
@UCP^g->@UCP^g*,NP^g : 1
@S^g->@S^g,``* : 2
@VP^g->VBZ,CC* : 2
QP^g->CD*,CD : 6
@SINV^g->@SINV^g*,VP^g : 1
S^g->PP^g,VP^g* : 1
@FRAG^g->@FRAG^g*,PP^g : 1
SBAR^g->WHNP^g|WDT*,S^g|VP^g : 37
S^g->NP^g*,ADJP^g : 1
NP^g->NNS,POS* : 3
VP^g->VBZ,ADVP^g|RB* : 1
NP^g->NP^g|JJR,PP^g* : 1
@S^g->-LRB-*,NP^g|NNS : 1
PP^g->IN,NP^g|NNPS* : 1
VP^g->ADVP^g|RB,VBN* : 1
PP^g->IN,NP^g|CD* : 5
@VP^g->VBD*,S^g|VP^g : 1
@ADJP^g->DT,RBR* : 1
@S^g->NP^g*,VP^g|VBD : 1
@VP^g->VBD,PRT^g|RP* : 5
FRAG^g->@FRAG^g*,, : 1
@VP^g->VP^g,CC* : 16
@NP^g->RB,PDT* : 1
@PP^g->PP^g*,PP^g : 1
NP^g->NN*,NN : 24
@NP^g->ADJP^g,NN* : 2
S^g->NP^g|NNS*,VP^g : 7
@VP^g->VBG*,NP^g|NN : 2
@VP^g->@VP^g,NP^g|NNP* : 1
@S^g->S^g|VP^g,,* : 4
@VP^g->ADVP^g|RB*,VP^g : 1
VP^g->VBP,NP^g* : 12
@PP^g->JJ,IN* : 6
@S^g->CC*,SBAR^g : 1
PP^g->PP^g,PP^g* : 1
@SBAR^g->ADVP^g|RB*,IN : 2
@ADJP^g->ADVP^g*,JJ : 1
NP^g->JJ,NNS* : 55
S^g|VP^g->VBD,VP^g* : 3
@VP^g->VBZ*,RB : 7
@NP^g->@NP^g*,NX^g : 3
ADJP^g->ADVP^g*,JJ : 1
@S^g->NP^g*,ADVP^g|RB : 11
NP^g->@NP^g,NX^g* : 4
SBAR^g|S^g->NP^g|NNS,VP^g* : 1
NP^g->ADJP^g*,NN : 2
@S^g->@S^g*,S^g : 23
S^g|VP^g->VBD,S^g* : 2
NP^g->NP^g,PRN^g* : 3
@NP^g->@NP^g*,SBAR^g : 4
@NP^g->@NP^g,FW* : 1
NP^g->NP^g|JJ,PP^g* : 3
@S^g->@S^g,''* : 9
@PRN^g->-LRB-*,SBAR^g : 1
@PRN^g->,,S^g* : 4
@VP^g->@VP^g,VP^g* : 5
ADJP^g->JJR,PP^g* : 2
FRAG^g->@FRAG^g*,. : 2
@NP^g->PRP$*,NNS : 2
ADJP^g->RB,JJ* : 10
@QP^g->$,CD* : 4
SBAR^g->WHPP^g*,S^g : 2
@UCP^g->NP^g,CC* : 1
@NP^g->DT,CD* : 5
@NP^g->NP^g*,PRN^g : 1
@SBAR^g->@SBAR^g,SBAR^g* : 1
@S^g->NP^g|PRP,VP^g* : 17
NP^g->DT,NNS* : 69
UCP^g->@UCP^g*,ADVP^g : 1
NP^g->NNP*,CD : 3
@VP^g->VB*,NP^g : 20
@VP^g->PRN^g,VB* : 1
@VP^g->TO*,ADVP^g|RB : 1
@S^g->@S^g*,`` : 2
NP^g->JJ,NNP* : 1
CONJP^g->RB,IN* : 1
VP^g->VBZ,NP^g|NNP* : 1
ADJP^g->JJ,S^g|VP^g* : 5
@SQ^g->@SQ^g*,VP^g : 1
@SINV^g->MD*,NP^g|PRP : 1
PP^g->IN*,ADJP^g|RB : 2
VP^g->@VP^g*,ADJP^g|RP : 1
VP^g->@VP^g,PP^g* : 88
@PRN^g->@PRN^g,''* : 1
@NP^g->DT,QP^g* : 1
VP^g->@VP^g,S^g|VP^g* : 28
@S^g->S^g|VP^g,``* : 1
@VP^g->VB*,PP^g : 3
@S^g->NP^g|WDT*,VP^g : 1
VP^g->VBD,ADVP^g|RB* : 1
@NP^g->NP^g|NNS,,* : 7
@NX^g->JJ*,NN : 2
VP^g->VBD*,VP^g|VBN : 1
@PRN^g->-LRB-*,NN : 1
@S^g->-LRB-*,NP^g : 1
QP^g->CD,JJR* : 2
NP^g->@NP^g,PRN^g* : 1
@PRN^g->@PRN^g*,'' : 1
@FRAG^g->@FRAG^g,ADVP^g|RB* : 1
@VP^g->VB*,CC : 2
VP^g->VBZ,NP^g* : 25
@VP^g->VBD,PP^g* : 4
S^g->@S^g*,ADJP^g : 1
S^g->@S^g*,VP^g|VBZ : 1
VP^g->@VP^g,ADVP^g|RB* : 5
@VP^g->VBD,NP^g|NN* : 2
@SQ^g->@SQ^g,NP^g* : 1
@ADVP^g->@ADVP^g,RB* : 2
NP^g|QP^g->CD,JJR* : 3
S^g->NP^g,VP^g|VBD* : 1
@UCP^g->ADJP^g*,: : 1
@VP^g->VBG,ADVP^g|RB* : 1
S^g->NP^g,ADJP^g* : 1
NP^g->CD*,DT : 1
@NP^g->@NP^g,VP^g* : 5
@PRN^g->:,ADVP^g|RB* : 1
@S^g->@S^g,NP^g|DT* : 1
@QP^g->JJ*,RB : 1
ADVP^g->RBR,RB* : 4
VP^g->VB*,NP^g|NN : 2
VP^g->VB,PP^g* : 20
ADJP^g->ADJP^g,PP^g* : 2
PP^g->IN*,NP^g|RB : 1
@UCP^g->VP^g,CC* : 1
VP^g->VBD,NP^g* : 24
ADJP^g->NP^g|QP^g*,JJR : 1
VP^g->MD,VP^g* : 55
VP^g->VB,ADJP^g* : 11
VP^g->NP^g|DT,S^g|VP^g* : 1
@NX^g->NNP*,NNP : 1
VP^g->@VP^g*,ADVP^g : 5
S^g|PP^g->IN*,NP^g : 1
@SBAR^g->WHNP^g|WP*,, : 1
@NP^g->DT,JJ* : 148
@S^g->@S^g,RB* : 1
@UCP^g->NP^g|CD,CC* : 1
S^g->@S^g,NP^g* : 1
NP^g->DT,NNPS* : 2
S^g|VP^g->VBD,PP^g* : 1
ADJP^g->IN*,S^g|VP^g : 2
@NP^g->NP^g,CD* : 1
VP^g->VBG,S^g* : 2
QP^g->@QP^g,CD* : 4
NP^g->@NP^g,ADJP^g* : 3
VP^g->VBP*,PP^g : 3
@SINV^g->@SINV^g*,S^g|VP^g : 1
VP^g->@VP^g*,SBAR^g : 21
VP^g->@VP^g,ADVP^g* : 5
VP^g->VBZ*,VP^g : 21
VP^g->VB*,VP^g|VBN : 2
SQ^g->@SQ^g,.* : 4
ADJP^g->RB*,DT : 2
S^g->``*,NP^g|NN : 1
VP^g->VBN*,S^g|NP^g : 2
@S^g->``,NP^g|PRP* : 3
@NP^g->NP^g*,TO : 1
@VP^g->VB,ADVP^g* : 1
VP^g->ADVP^g|RB*,VBZ : 2
@NP^g->CD,JJR* : 1
@ADJP^g->@ADJP^g*,`` : 2
@QP^g->JJ,RB* : 1
S^g->@S^g,S^g* : 5
ADJP^g->RB*,JJ : 10
ADJP^g->@ADJP^g,SBAR^g|S^g|VP^g* : 2
NP^g->@NP^g*,PP^g : 19
S^g|VP^g->TO*,VP^g : 68
@VP^g->VBP,CONJP^g* : 1
@QP^g->JJR*,IN : 1
@NP^g->DT*,NN : 63
UCP^g->@UCP^g,.* : 1
@NP^g->NP^g*,PP^g : 13
@NP^g->NNS,VBG* : 1
@VP^g->VP^g*,, : 10
@NP^g->NN,,* : 2
VP^g->VBG*,PP^g|IN : 1
PP^g->IN*,NP^g|NN : 33
VP^g->VBN,S^g* : 3
@ADJP^g->@ADJP^g,CC* : 4
VP^g->VBP,VP^g|VBN* : 2
PP^g->IN*,S^g : 3
VP^g->VBP,ADJP^g|JJ* : 2
@S^g->@S^g,PRN^g* : 1
SBAR^g->WHNP^g|IN,S^g* : 1
@VP^g->VBG,PRT^g|RP* : 3
QP^g->DT*,CD : 1
PP^g->TO*,NP^g|PRP : 3
@NP^g->CD*,CC : 1
S^g|VP^g->@VP^g*,ADVP^g|RB : 1
@QP^g->JJR,IN* : 1
NP^g->NP^g|NNS*,SBAR^g : 5
@VP^g->@VP^g,VBD* : 1
@PP^g->IN*,`` : 6
ADVP^g->RB,PP^g* : 4
@SQ^g->CC,VBD* : 1
@S^g->``,ADVP^g|RB* : 1
@PRN^g->-LRB-,SBAR^g* : 1
NP^g->@NP^g,UCP^g* : 1
@S^g->NP^g|NN*,ADVP^g|RB : 1
VP^g->VB,VP^g|VBN* : 2
@VP^g->@VP^g*,PRT^g|RP : 2
@VP^g->VP^g|VB,CC* : 1
ADJP^g->RBS,JJ* : 4
VP^g->VBP*,SBAR^g|S^g : 6
ADVP^g->NP^g,RB* : 3
@S^g->NP^g,ADVP^g|RB* : 11
SBAR^g->WHNP^g|WP*,S^g : 6
PP^g->@PP^g,''* : 2
@S^g->CC,ADVP^g|RB* : 1
S^g->NP^g|NNS,VP^g* : 7
@NP^g->CD,CC* : 1
VP^g->VBN,VP^g* : 5
VP^g->@VP^g,ADJP^g|RP* : 1
@ADVP^g->RB*,CC : 2
@S^g->CC,NP^g* : 6
@NP^g->@NP^g*,'' : 13
@VP^g->VBZ,NP^g|PRP* : 2
NP^g->NP^g*,SBAR^g|S^g|VP^g : 4
@NP^g->@NP^g,NNP* : 54
S^g->@S^g*,-RRB- : 3
VP^g->VBG,ADJP^g* : 1
NP^g->NP^g,SBAR^g|S^g|VP^g* : 4
NP^g->DT,PRN^g* : 1
@FRAG^g->NNS*,, : 1
@SINV^g->@SINV^g,S^g|VP^g* : 1
@UCP^g->@UCP^g,NN* : 1
@S^g->NP^g|DT*,VP^g : 5
PP^g->TO,VP^g|VB* : 1
@SQ^g->@SQ^g,ADVP^g|RB* : 1
@S^g->@S^g*,PP^g : 3
NP^g->QP^g*,NN : 7
NP^g->NP^g|NNS,SBAR^g|S^g|VP^g* : 3
ADJP^g->JJ,NP^g* : 1
@NP^g->DT*,JJ : 148
@VP^g->VBP,PP^g|TO* : 1
@S^g->``,FRAG^g|NP^g* : 1
@SINV^g->@SINV^g,S^g* : 2
NP^g->VBG,NNS* : 1
ADJP^g->@ADJP^g,PRN^g* : 1
@NP^g->ADJP^g,JJ* : 2
PP^g->IN*,NP^g : 398
@S^g->-LRB-,S^g* : 1
@S^g->NP^g*,VP^g : 77
@ADVP^g->RB,RB* : 1
@S^g->@S^g*,. : 22
NP^g->NP^g,NP^g* : 5
@S^g->@S^g,:* : 2
NP^g->NP^g,SBAR^g|S^g* : 4
@NP^g->NP^g*,NN : 8
S^g->@S^g,.* : 203
ADVP^g->IN*,RB : 2
@NP^g->@NP^g,,* : 33
@VP^g->@VP^g,NP^g|DT* : 1
@VP^g->@VP^g*,SBAR^g : 2
VP^g->VB*,ADJP^g : 11
VP^g->VBN,NP^g* : 9
NP^g->@NP^g,NP^g|QP^g* : 1
S^g|NP^g->NNP*,NNP : 2
@NX^g->@NX^g*,, : 1
ADVP^g->@ADVP^g*,ADVP^g : 2
SBAR^g|S^g->@S^g*,VP^g : 1
@S^g->CC*,NP^g|EX : 2
NP^g->@NP^g,VBZ* : 2
@ADJP^g->PRP$,CC* : 1
@SQ^g->VBZ*,NP^g|DT : 1
@VP^g->VBN*,S^g|NP^g : 2
VP^g->VBD,NP^g|CD* : 1
S^g|VP^g->@VP^g*,ADVP^g : 1
@VP^g->VBZ*,CC : 2
@PP^g->PP^g,PP^g* : 1
@S^g->SBAR^g,VP^g* : 2
NP^g->@NP^g,NNPS* : 10
@S^g->CC,NP^g|PRP* : 3
@SQ^g->@SQ^g,VP^g* : 1
NX^g->RB*,NNS : 1
S^g|VP^g->VBG,S^g|VP^g* : 1
ADVP^g->IN,RB* : 2
SBAR^g->WHADVP^g,S^g|VP^g* : 1
@NP^g->ADJP^g*,NN : 2
NX^g->NP^g|NN*,PP^g : 2
ADJP^g->IN*,PP^g : 1
NP^g->VBN,NNS* : 1
VP^g->@VP^g*,S^g : 3
SBAR^g->WHNP^g|WDT,S^g* : 5
@VP^g->VP^g*,CC : 16
@SINV^g->ADVP^g|JJR,,* : 1
SQ^g|VP^g->VBZ,ADJP^g|JJ* : 1
@S^g->@S^g,NP^g|NNS* : 2
@S^g->@S^g,ADVP^g|RB* : 9
UCP^g->@UCP^g,ADJP^g|JJR* : 1
NP^g->NP^g*,NP^g|PRP : 1
@NP^g->NP^g,:* : 6
PP^g->TO,NP^g|PRP* : 3
NP^g->PRP$*,NNS : 13
@VP^g->ADVP^g|RB,TO* : 1
NP^g->@NP^g,NP^g|NN* : 4
S^g|VP^g->VBD,S^g|VP^g* : 1
@VP^g->@VP^g,NP^g* : 14
@NP^g->@NP^g*,NP^g|NN : 3
@SQ^g->@SQ^g*,SBAR^g : 2
SBARQ^g->@SBARQ^g*,. : 1
ADJP^g->RBS*,JJ : 4
VP^g->VBP*,S^g|VP^g : 1
@NP^g->RB,NN* : 1
VP^g->VBZ,PP^g* : 5
@NP^g->NP^g*,JJ : 16
VP^g->NN*,NP^g : 1
PP^g->@PP^g,SBAR^g* : 1
PP^g->NN,PP^g* : 1
VP^g->VB*,S^g|ADJP^g|JJ : 1
@VP^g->VB*,NP^g|NNS : 8
VP^g->VB*,UCP^g : 1
@VP^g->VB*,NP^g|NNP : 1
@S^g->NP^g|NNS,VP^g* : 2
SBAR^g->@SBAR^g,S^g|VP^g* : 2
@ADVP^g->RB,CC* : 2
@ADJP^g->@ADJP^g,``* : 2
@S^g->S^g|VP^g*,PRN^g : 1
NP^g->DT*,NNS : 69
NP^g->DT*,NNP : 14
PP^g->IN*,NP^g|DT : 1
@SBAR^g->ADVP^g|RB,IN* : 2
VP^g->VB,VP^g* : 14
VP^g->@VP^g,SBAR^g|S^g* : 1
NP^g->@NP^g,''* : 10
@NP^g->NN*,NNP : 1
VP^g->@VP^g,SBAR^g|SINV^g* : 1
@VP^g->@VP^g,VBZ* : 2
@S^g->NP^g|NNS*,VP^g : 2
@VP^g->@VP^g*,: : 1
@PRN^g->,*,S^g : 4
@PP^g->IN,``* : 6
@NP^g->NP^g,VBG* : 1
@QP^g->@QP^g*,IN : 2
@NP^g->ADJP^g*,JJ : 2
@QP^g->$*,CD : 4
@S^g->NP^g|PRP*,ADVP^g|RB : 5
S^g->@S^g*,'' : 20
@NP^g->DT*,CD : 5
@NP^g->@NP^g,NNPS* : 4
@NX^g->NNP,NNP* : 1
QP^g->CD*,JJR : 2
NP^g->DT,NN* : 176
@VP^g->VBD*,, : 1
@QP^g->IN,$* : 2
@NP^g->@NP^g*,NNPS : 4
NP^g->JJR,NN* : 1
@S^g->@S^g*,S^g|VP^g : 1
@PP^g->@PP^g*,NP^g : 1
NP^g|QP^g->CD*,JJR : 3
S^g|VP^g->@VP^g,ADVP^g|RB* : 1
@NP^g->NNP*,NNPS : 2
S^g|VP^g->TO,VP^g|VB* : 3
@ADVP^g->RB*,RB : 1
VP^g->@VP^g*,SBAR^g|S^g|VP^g : 2
@QP^g->@QP^g,CD* : 4
@VP^g->VBZ*,, : 1
@PRN^g->,,PP^g* : 1
UCP^g->@UCP^g,ADVP^g* : 1
@S^g->@S^g,NP^g|PRP* : 25
@NP^g->@NP^g,VBG* : 1
@NP^g->ADJP^g*,NNS : 1
@S^g->ADVP^g|RB*,PRN^g : 1
@S^g->@S^g*,: : 2
ADJP^g->JJ*,S^g|VP^g : 5
S^g->@S^g,SBAR^g* : 2
@VP^g->VBG*,NP^g|PRP : 1
@S^g->@S^g*,, : 21
ADVP^g->NP^g*,RB : 3
UCP^g->@UCP^g,NP^g* : 1
VP^g->TO*,VP^g : 18
@ADJP^g->@ADJP^g,''* : 2
@VP^g->PP^g,,* : 1
@VP^g->VBD*,NP^g|NNS : 2
@VP^g->VBD*,NP^g|NNP : 1
@VP^g->VBP,ADVP^g* : 1
@S^g->ADVP^g|RB,,* : 5
@S^g->@S^g*,NP^g : 34
NP^g->@NP^g,NN* : 238
@SINV^g->@SINV^g,NP^g* : 14
NP^g->NP^g,NN* : 13
NP^g->NP^g,ADVP^g* : 3
S^g->NP^g|NNP*,VP^g : 1
PP^g->TO,NP^g|NNP* : 2
@NP^g->@NP^g*,NP^g|NNS : 3
@SBAR^g->WHNP^g|IN,,* : 1
@NP^g->@NP^g*,NP^g|NNP : 1
S^g|VP^g->VBG*,NP^g|PRP : 1
@VP^g->@VP^g*,NP^g : 14
@NP^g->NP^g|NNS,PP^g* : 1
@UCP^g->JJ,,* : 1
@NP^g->CD,NNP* : 2
@PP^g->ADVP^g|RB*,IN : 4
@NP^g->CD*,JJR : 1
S^g|VP^g->@VP^g*,NP^g : 4
VP^g->VBN*,ADVP^g : 1
@PP^g->RB*,IN : 1
@PP^g->@PP^g*,IN : 2
@VP^g->VB*,ADJP^g|JJ : 3
@S^g->@S^g*,ADVP^g|RB : 9
@PRN^g->@PRN^g*,S^g : 1
@NP^g->@NP^g,NX^g* : 3
@NP^g->@NP^g*,VBG : 1
NP^g->JJS*,NNS : 1
S^g->NP^g|DT*,VP^g : 3
@ADJP^g->@ADJP^g*,, : 1
@S^g->SBAR^g,,* : 9
@NP^g->NP^g*,CD : 1
@NP^g->NP^g*,CC : 15
@S^g->ADVP^g|RB,NP^g* : 2
@VP^g->VBD*,NP^g|NN : 2
@NP^g->``,ADJP^g* : 1
VP^g->VBN*,SBAR^g : 5
@VP^g->@VP^g*,ADVP^g : 2
@QP^g->CD,NN* : 1
S^g|VP^g->@VP^g*,PP^g : 16
VP^g->VBG,NP^g|NNS* : 1
PP^g->IN*,PP^g : 3
@PP^g->PP^g,,* : 1
@VP^g->ADVP^g|RB,VBZ* : 2
@SBAR^g->@SBAR^g*,, : 1
@S^g->NP^g,VP^g* : 77
@SBAR^g->@SBAR^g,,* : 1
@PRN^g->@PRN^g,S^g* : 1
@NP^g->DT*,NNP : 34
@VP^g->VBG*,NP^g : 9
@NP^g->JJ,JJ* : 1
S^g->@S^g*,S^g : 5
@S^g->CC,NP^g|EX* : 2
@NP^g->@NP^g,PP^g* : 5
@VP^g->VBZ*,ADVP^g|RB : 6
@S^g->@S^g,NP^g|QP^g* : 1
@SINV^g->S^g,,* : 1
@NP^g->RB,PRP$* : 1
@NP^g->NNP*,NNS : 1
PP^g->@PP^g,PP^g* : 2
@NP^g->NNP*,NNP : 53
@NP^g->NNP,FW* : 1
S^g->NP^g|PRP*,VP^g|VBZ : 1
@UCP^g->JJ,CC* : 2
ADVP^g->RB,SBAR^g* : 1
NX^g->JJ*,NN : 3
S^g->NP^g|JJS*,VP^g : 2
@NX^g->@NX^g,NN* : 1
@FRAG^g->CC,RB* : 1
SBAR^g|S^g->@S^g,VP^g* : 1
@S^g->CC*,ADVP^g|RB : 1
@VP^g->VBN*,NP^g : 4
VP^g->VBN*,S^g : 3
ADJP^g->NP^g,JJR* : 2
@VP^g->@VP^g,VB* : 2
@NP^g->NP^g,JJS* : 2
S^g->NP^g|PRP*,VP^g|VBD : 2
@SINV^g->@SINV^g*,`` : 1
@NP^g->NN,CC* : 9
NP^g->PRP$,NNS* : 13
VP^g->VB,ADVP^g|RB* : 3
@VP^g->VP^g|VB*,CC : 1
S^g|VP^g->VBG*,NP^g : 12
@NP^g->NN,RB* : 1
NP^g->@NP^g,NP^g* : 73
S^g|VP^g->VBD,NP^g|NNP* : 1
NP^g->NN*,POS : 1
S^g->NP^g|PRP*,VP^g|VB : 1
NP^g->QP^g,NNS* : 3
SBAR^g->WHNP^g|WP,S^g|VP^g* : 13
@NAC^g->@NAC^g,,* : 1
VP^g->VBZ,ADJP^g* : 6
SBAR^g->IN,FRAG^g* : 1
VP^g->VBG*,VP^g : 1
VP^g->VBD*,SBAR^g|S^g : 14
S^g->ADVP^g|RB*,VP^g : 4
PP^g->@PP^g,NP^g|NN* : 2
ADVP^g->RP,PP^g* : 1
@VP^g->VB*,ADJP^g : 1
@UCP^g->@UCP^g,NP^g* : 1
VP^g->VBN*,S^g|VP^g : 9
@VP^g->VP^g|VBZ,CC* : 1
@S^g->ADVP^g|RB,PRN^g* : 1
VP^g->VBP,VP^g* : 19
VP^g->VBP*,SBAR^g : 3
@ADJP^g->@ADJP^g*,CC : 4
@PP^g->IN,CC* : 2
@NP^g->JJ*,NNS : 2
@NP^g->NNP,JJ* : 1
@NP^g->JJ*,NNP : 4
NP^g->DT,CD* : 1
@VP^g->VBZ*,PP^g : 6
NP^g->NP^g,NP^g|NNP* : 1
@S^g->NP^g|NNP*,VP^g : 4
@SQ^g->CC*,VBD : 1
@VP^g->@VP^g*,NP^g|NNS : 1
@NP^g->NN,NNS* : 1
@NP^g->@NP^g,NX^g|NN* : 1
@VP^g->@VP^g*,NP^g|NNP : 1
NP^g->NN*,S^g|VP^g : 1
S^g->@S^g*,SQ^g : 1
CONJP^g->RB*,RB : 2
VP^g->VBN*,VP^g : 5
@VP^g->VB,NP^g|NN* : 2
VP^g->VBP,UCP^g* : 1
@VP^g->ADVP^g|RB,VB* : 4
PRN^g->@PRN^g*,: : 4
@S^g->NP^g|PRP,ADVP^g|RB* : 5
@VP^g->PRN^g*,VB : 1
@NP^g->NP^g*,NNP : 5
NP^g->NP^g*,ADVP^g : 3
@SINV^g->@SINV^g*,'' : 11
VP^g->VBZ*,S^g|VP^g : 3
PRN^g->@PRN^g*,, : 7
@VP^g->VBN,NP^g|NN* : 2
S^g|VP^g->VBZ*,SBAR^g|S^g : 1
@VP^g->VBP,,* : 1
@ADJP^g->JJ*,CC : 4
VP^g->MD*,VP^g|VB : 3
@NP^g->NP^g|JJS*,PP^g : 1
@NP^g->RB,JJ* : 1
@ADJP^g->PRP$*,CC : 1
PP^g->IN,SBAR^g* : 1
NX^g->NNP*,NNP : 2
NP^g->NP^g,NP^g|PRP* : 1
S^g->NP^g,ADJP^g|JJ* : 1
@NP^g->NN*,RB : 1
NP^g->NP^g|DT,PP^g* : 3
@VP^g->@VP^g,ADVP^g* : 2
@VP^g->VBD*,ADVP^g|RB : 3
NP^g->@NP^g,CD* : 1
@NP^g->NNS*,, : 1
PP^g->@PP^g*,S^g|VP^g : 1
@S^g->@S^g*,CC : 16
VP^g->VBN,S^g|NP^g* : 2
@VP^g->ADVP^g,VBN* : 1
VP^g->VBD,UCP^g* : 1
QP^g->IN,CD* : 2
S^g->@S^g*,S^g|VP^g : 1
@NP^g->ADJP^g,NNS* : 1
@ADVP^g->ADVP^g|RB,,* : 1
@NP^g->@NP^g*,NNP : 54
NP^g->NP^g|RB,PP^g* : 1
VP^g->VBP,SBAR^g|S^g* : 6
@NP^g->DT*,UCP^g : 1
ADJP^g->@ADJP^g,JJ* : 7
VP^g->VBZ,VP^g* : 21
@SINV^g->@SINV^g,VP^g|VBD* : 3
@NP^g->``*,ADJP^g : 1
@NP^g->NN,NNP* : 1
@VP^g->@VP^g*,ADVP^g|RB : 8
ADVP^g->@ADVP^g,ADVP^g* : 2
@S^g->ADVP^g*,NP^g : 1
@VP^g->@VP^g,PRT^g|RP* : 2
@ADJP^g->@ADJP^g,,* : 1
@NX^g->NX^g|NNS,,* : 1
@PRN^g->-LRB-,NP^g|QP^g* : 1
@VP^g->VBN,ADJP^g* : 1
VP^g->ADVP^g|RB,VBZ* : 2
S^g|VP^g->@VP^g,ADVP^g* : 1
SBAR^g->WHADVP^g|WRB,S^g|VP^g* : 1
PRN^g->@PRN^g*,-RRB- : 5
S^g|VP^g->VBG,NP^g|NNS* : 2
@PP^g->ADVP^g|RB*,TO : 1
NP^g->@NP^g,FW* : 1
SBAR^g->WHNP^g|WDT*,S^g : 5
@NP^g->RB*,NN : 1
NP^g->NP^g|CD,PP^g* : 6
NP^g->PRP$,NX^g* : 1
@PP^g->ADVP^g|RBR*,IN : 1
@S^g->``,S^g* : 7
VP^g->VBD,VP^g|VBN* : 1
NP^g->DT,JJ* : 4
NP^g->@NP^g,NP^g|NNS* : 1
ADVP^g->ADVP^g,SBAR^g* : 1
UCP^g->@UCP^g,ADJP^g* : 1
@PRN^g->:*,NP^g : 1
@SBAR^g->SBAR^g*,, : 1
@NP^g->DT,``* : 2
